pair,X,Y,rest_f,stress_f,rest_sig_rate,stress_sig_rate,rest_lag,stress_lag,delta_f
IBI -> HR,IBI,HR,35.52806804415517,46.40545535072982,0.782051282051282,0.7941176470588235,1.3421052631578947,1.4411764705882353,10.877387306574647
TEMP -> HR,TEMP,HR,33.8072713103228,41.94699996903573,0.7435897435897436,0.8823529411764706,1.5769230769230769,1.4411764705882353,8.139728658712933
IBI -> TEMP,IBI,TEMP,2.145407130527895,5.183137905362654,0.19230769230769232,0.35294117647058826,2.763157894736842,1.8529411764705883,3.037730774834759
BVP -> IBI,BVP,IBI,1.4727397771432382,2.2573915711116244,0.10256410256410256,0.20588235294117646,2.0,2.088235294117647,0.7846517939683861
TEMP -> IBI,TEMP,IBI,2.232761363848505,2.745498524053101,0.24358974358974358,0.29411764705882354,2.3815789473684212,2.6470588235294117,0.5127371602045958
EDA -> TEMP,EDA,TEMP,8.4202002253683,8.791126602272405,0.6153846153846154,0.6470588235294118,2.2564102564102564,1.6470588235294117,0.3709263769041051
TEMP -> BVP,TEMP,BVP,1.2711554183478933,1.60545919520626,0.07692307692307693,0.17647058823529413,3.217948717948718,2.735294117647059,0.33430377685836676
BVP -> EDA,BVP,EDA,2.6729302466507883,2.850076683566369,0.2948717948717949,0.2647058823529412,2.8333333333333335,2.4411764705882355,0.17714643691558063
EDA -> IBI,EDA,IBI,2.668640227898668,2.8452276284616533,0.2948717948717949,0.29411764705882354,1.986842105263158,2.1176470588235294,0.1765874005629855
IBI -> BVP,IBI,BVP,1.6498618833788763,1.576498540968245,0.16666666666666666,0.17647058823529413,2.8421052631578947,2.5294117647058822,-0.07336334241063125
HR -> BVP,HR,BVP,1.18824273529107,0.9109921719954542,0.05128205128205128,0.0,3.5384615384615383,2.823529411764706,-0.2772505632956158
BVP -> TEMP,BVP,TEMP,2.795016127129087,1.8334725115345072,0.2692307692307692,0.17647058823529413,2.4871794871794872,2.7058823529411766,-0.96154361559458
BVP -> HR,BVP,HR,2.6169367090251385,1.604119436662238,0.21794871794871795,0.14705882352941177,2.8974358974358974,3.4705882352941178,-1.0128172723629005
EDA -> BVP,EDA,BVP,3.4786690217863145,2.1683867372606045,0.3717948717948718,0.2647058823529412,3.641025641025641,3.1470588235294117,-1.31028228452571
HR -> IBI,HR,IBI,6.598603218414253,4.3118947462761525,0.6410256410256411,0.5294117647058824,2.039473684210526,2.6470588235294117,-2.2867084721381
IBI -> EDA,IBI,EDA,5.669732362307663,2.5351529277263025,0.2692307692307692,0.20588235294117646,1.9342105263157894,2.6470588235294117,-3.1345794345813602
EDA -> HR,EDA,HR,49.23050876778828,45.062783625905645,0.9230769230769231,0.7058823529411765,1.5897435897435896,1.588235294117647,-4.167725141882634
TEMP -> EDA,TEMP,EDA,14.06061057246438,6.377369125046005,0.5512820512820513,0.47058823529411764,2.1153846153846154,2.323529411764706,-7.683241447418375
HR -> EDA,HR,EDA,12.45785233285957,4.0665834663138005,0.5128205128205128,0.35294117647058826,2.1794871794871793,2.3823529411764706,-8.391268866545769
HR -> TEMP,HR,TEMP,34.759922821703235,9.867674815904442,0.5128205128205128,0.7941176470588235,2.551282051282051,1.8529411764705883,-24.89224800579879
