pair,mean_rest,mean_stress,sem_rest,sem_stress,mse_r_rest,mse_r_stress,mse_u_rest,mse_u_stress,stress_vs_rest,coef,p_raw,sig,t_value
HR -> TEMP,1.6989154104307933,8.646802941203696,8.138128178800395,10.315100680399476,19.915587204056475,24.23400274881924,18.216671793625697,15.587199807615548,6.947887530772903,6.9478875307729036,0.274647008607775,False,1.0924234768461523
ACC_x -> TEMP,-5.0194244919111775,-1.3413390184081506,7.49397787245136,9.184291481916114,19.915587204056475,24.23400274881924,24.93501169596766,25.575341767227396,3.678085473503027,3.6780854735030277,0.5578268158223112,False,0.5860724697689552
ACC_z -> ACC_y,-0.6409921152654104,2.5727698371423715,0.8024513172916475,1.145858226802765,91.26799439614196,57.94608665019035,91.90898651140738,55.373316813047985,3.213761952407782,3.2137619524077827,0.013902223831997119,True,2.4597799176939183
EDA -> TEMP,5.077676358461518,7.973664279073539,3.132385048529573,5.481054150021156,19.915587204056475,24.23400274881924,14.837910845594925,16.26033846974567,2.895987920612021,2.8959879206120256,0.3268115197493142,False,0.9805564490217953
HR -> ACC_y,-2.2720724717467418,-0.053630022996338796,0.9319813744041104,0.46971754245673203,91.26799439614196,57.94608665019035,93.5400668678887,57.99971667318669,2.218442448750403,2.2184424487504035,0.0791525880697995,False,1.7556242539845934
ACC_y -> TEMP,-7.945462902460015,-6.153948541288933,5.672371318061824,5.6465944290787355,19.915587204056475,24.23400274881924,27.8610501065165,30.387951290108184,1.7915143611710818,1.7915143611710864,0.7093554520511169,False,0.3727218774412416
ACC_z -> TEMP,-1.5226450584390618,-0.25312707636179255,3.150353993499122,2.8261576752856477,19.915587204056475,24.23400274881924,21.43823226249553,24.487129825181007,1.2695179820772693,1.2695179820772708,0.6210677664489865,False,0.4943376120235357
ACC_y -> HR,-0.7909549294923218,0.3229369700045914,0.9807321905862108,0.1103631646534096,0.7021738164064779,0.6439349631096172,1.4931287458987883,0.32099799310500937,1.1138918994969131,1.1138918994969134,0.3212782135295851,False,0.9918346056550632
BVP -> ACC_y,-0.625862520845496,0.39984133421539825,0.8526264119273006,1.746970184246432,91.26799439614196,57.94608665019035,91.89385691698746,57.54624531597497,1.0257038550608941,1.0257038550608946,0.5662390836012675,False,0.5735991551631066
TEMP -> ACC_z,-15.944242328131418,-14.997156336903528,2.2073073514983768,3.4617937805082355,104.81363783234397,88.84695673580552,120.75788016047542,103.84411307270909,0.9470859912278904,0.9470859912278923,0.7188119845691678,False,0.36004700226703024
BVP -> TEMP,-0.7910749447011398,-0.04125609463217877,2.040817393893165,2.0408410138124524,19.915587204056475,24.23400274881924,20.706662148757626,24.275258843451414,0.7498188500689611,0.7498188500689618,0.6296962694359172,False,0.4821543972358565
ACC_x -> HR,-0.394850208934213,0.22783137164342993,0.5302220376650562,0.10941001562655392,0.7021738164064779,0.6439349631096172,1.0970240253406796,0.4161035914661803,0.6226815805776429,0.6226815805776431,0.31489101639979566,False,1.0050121147097255
BVP -> HR,-0.35626154541902405,0.23941067448663206,0.5243967858347612,0.09647692333312988,0.7021738164064779,0.6439349631096172,1.058435361825487,0.40452428862297085,0.5956722199056561,0.5956722199056561,0.3245141784264022,False,0.9852237472373411
ACC_x -> ACC_y,0.6450721723548037,1.0237793852438248,1.8362781998342323,0.9470837437017025,91.26799439614196,57.94608665019035,90.62292222378717,56.92230726494655,0.3787072128890211,0.3787072128890203,0.8156291592068032,False,0.23317031058975607
ACC_z -> HR,-0.15844605154331706,0.17995672672386306,0.26674561698545685,0.07065893211139752,0.7021738164064779,0.6439349631096172,0.8606198679497911,0.46397823638574937,0.3384027782671801,0.3384027782671802,0.2896687154019336,False,1.0588486453681047
TEMP -> HR,0.04913277152807173,0.28349303439050955,0.15958359661081806,0.14272496020801778,0.7021738164064779,0.6439349631096172,0.653041044878394,0.3604419287191034,0.23436026286243783,0.2343602628624378,0.22611728933216824,False,1.210421256697718
ACC_z -> EDA,-1.2670581714807774,-1.098323241769597,0.14728286060250903,0.14037260985356628,0.2816601478758202,0.47840133685679465,1.5487183193566108,1.5767245786264044,0.16873492971118043,0.16873492971118056,0.11216720119224526,False,1.5885270860305998
ACC_x -> EDA,-0.36903571177818073,-0.20577168469143964,0.36004493126653314,0.2192316493901852,0.2816601478758202,0.47840133685679465,0.6506958596540067,0.6841730215482346,0.1632640270867411,0.16326402708674126,0.6150240730592353,False,0.5029149452484236
TEMP -> EDA,-0.5880007292248639,-0.4611607522854152,0.3311742254692046,0.19281242057065623,0.2816601478758202,0.47840133685679465,0.8696608771006901,0.9395620891422114,0.1268399769394487,0.12683997693944896,0.7054838541128357,False,0.377928305935662
ACC_y -> ACC_x,-1.0826501045170296,-0.9892154835945054,0.27460096586657295,0.3803435536872114,20.339443021186796,22.940764927518373,21.42209312570386,23.929980411112904,0.09343462092252419,0.09343462092252384,0.8063641907898669,False,0.245119130376473
